#{"t_start": 1702243112.2229602, "env_id": "None"}
r,l,t
19.0,1002,11226.405915
31.0,1002,11242.022381
20.0,1002,11257.650084
17.0,1002,11273.268794
16.0,1002,11292.427459
18.0,1002,11308.047576
25.0,1002,11323.667686
22.0,1002,11339.280222
22.0,1002,11354.902125
21.0,1002,11370.501786
19.0,1002,11386.116694
16.0,1002,11401.711823
19.0,1002,11420.87348
21.0,1002,11436.491562
14.0,1002,11452.112137
19.0,1002,11467.734464
16.0,1002,11483.357217
20.0,1002,11498.97285
26.0,1002,11514.582146
14.0,1002,11530.205419
16.0,1002,11549.481387
17.0,1002,11565.080312
15.0,1002,11580.708612
19.0,1002,11596.327426
15.0,1002,11611.967216
15.0,1002,11627.592874
16.0,1002,11643.222464
19.0,1002,11658.867836
17.0,1002,11674.497662
17.0,1002,11693.697041
13.0,1002,11709.312939
19.0,1002,11724.958694
15.0,1002,11740.592607
14.0,1002,11756.214911
17.0,1002,11771.835602
15.0,1002,11787.445358
23.0,1002,11803.067127
21.0,1002,11822.160405
20.0,1002,11837.78502
19.0,1002,11853.413455
15.0,1002,11869.041819
15.0,1002,11884.673571
21.0,1002,11900.296994
13.0,1002,11915.922623
21.0,1002,11931.549197
16.0,1002,11950.678932
14.0,1002,11966.314847
18.0,1002,11981.93059
20.0,1002,11997.556959
19.0,1002,12013.186049
18.0,1002,12028.792346
18.0,1002,12044.418771
20.0,1002,12060.04955
17.0,1002,12079.159741
17.0,1002,12094.780855
17.0,1002,12110.388318
13.0,1002,12125.999345
14.0,1002,12141.619899
12.0,1002,12157.24124
15.0,1002,12172.850011
15.0,1002,12188.47405
13.0,1002,12207.607728
12.0,1002,12223.229963
13.0,1002,12238.854899
18.0,1002,12254.476875
12.0,1002,12270.094756
18.0,1002,12285.715793
18.0,1002,12301.345001
19.0,1002,12316.972263
19.0,1002,12332.603438
13.0,1002,12351.713068
10.0,1002,12367.33062
14.0,1002,12382.958814
11.0,1002,12398.593243
14.0,1002,12414.219874
19.0,1002,12429.839446
12.0,1002,12445.445135
18.0,1002,12461.070763
10.0,1002,12480.254173
15.0,1002,12495.869224
16.0,1002,12511.484079
13.0,1002,12527.10002
16.0,1002,12542.703449
12.0,1002,12558.322485
13.0,1002,12573.9568
16.0,1002,12589.577084
13.0,1002,12608.679746
14.0,1002,12624.304605
12.0,1002,12639.916603
13.0,1002,12655.541751
15.0,1002,12671.177299
15.0,1002,12686.785914
10.0,1002,12702.387443
12.0,1002,12718.000426
14.0,1002,12737.159335
12.0,1002,12752.796962
12.0,1002,12768.412961
11.0,1002,12784.000093
12.0,1002,12799.626554
10.0,1002,12815.241139
17.0,1002,12830.865486
9.0,1002,12846.484139
10.0,1002,12865.778115
11.0,1002,12881.506085
12.0,1002,12897.167943
13.0,1002,12912.83957
12.0,1002,12928.498846
13.0,1002,12944.169754
12.0,1002,12959.83631
15.0,1002,12975.497997
11.0,1002,12994.748864
12.0,1002,13010.401797
12.0,1002,13026.025306
13.0,1002,13041.64174
18.0,1002,13057.257656
12.0,1002,13072.874284
10.0,1002,13088.497292
14.0,1002,13104.132831
11.0,1002,13119.750903
10.0,1002,13138.883535
10.0,1002,13154.488898
13.0,1002,13170.114935
14.0,1002,13185.733911
13.0,1002,13201.376202
11.0,1002,13216.955295
11.0,1002,13232.590495
13.0,1002,13248.211153
11.0,1002,13267.312843
10.0,1002,13282.941858
12.0,1002,13298.548587
12.0,1002,13314.181909
12.0,1002,13329.787705
12.0,1002,13345.431686
12.0,1002,13361.072875
17.0,1002,13376.687839
12.0,1002,13395.801716
17.0,1002,13411.435565
17.0,1002,13427.027479
14.0,1002,13442.653147
11.0,1002,13458.287827
13.0,1002,13473.916902
11.0,1002,13489.542883
10.0,1002,13505.170728
14.0,1002,13524.26209
10.0,1002,13539.883603
14.0,1002,13555.515835
11.0,1002,13571.125227
11.0,1002,13586.731122
15.0,1002,13602.35742
11.0,1002,13617.986289
10.0,1002,13633.614291
10.0,1002,13653.310698
12.0,1002,13668.929856
9.0,1002,13684.558468
9.0,1002,13700.175524
12.0,1002,13715.811142
12.0,1002,13731.430288
11.0,1002,13747.04252
9.0,1002,13762.661448
13.0,1002,13781.844249
13.0,1002,13797.479638
10.0,1002,13813.092946
9.0,1002,13828.711067
13.0,1002,13844.32965
12.0,1002,13859.939674
10.0,1002,13875.565251
14.0,1002,13891.128193
10.0,1002,13906.723023
8.0,1002,13925.889462
9.0,1002,13941.50567
11.0,1002,13957.142737
11.0,1002,13972.761536
9.0,1002,13988.373186
8.0,1002,14003.985743
11.0,1002,14019.599032
10.0,1002,14035.222977
10.0,1002,14054.283964
9.0,1002,14069.913502
14.0,1002,14085.517868
12.0,1002,14101.143523
10.0,1002,14116.74342
10.0,1002,14132.370764
10.0,1002,14147.987672
9.0,1002,14163.617517
11.0,1002,14182.699064
9.0,1002,14198.367554
10.0,1002,14213.999389
9.0,1002,14229.623057
8.0,1002,14245.226613
10.0,1002,14260.874074
13.0,1002,14276.50192
13.0,1002,14292.101279
11.0,1002,14311.167572
11.0,1002,14326.792825
9.0,1002,14342.423351
8.0,1002,14358.042309
9.0,1002,14373.6507
11.0,1002,14389.28368
13.0,1002,14404.909252
8.0,1002,14420.518031
8.0,1002,14439.570227
10.0,1002,14455.192494
11.0,1002,14470.814902
8.0,1002,14486.434957
11.0,1002,14502.068705
8.0,1002,14517.675442
14.0,1002,14533.285459
8.0,1002,14548.907325
9.0,1002,14564.528824
9.0,1002,14583.622937
10.0,1002,14599.227929
9.0,1002,14614.860596
9.0,1002,14630.481929
10.0,1002,14646.083517
10.0,1002,14661.687712
7.0,1002,14677.332451
8.0,1002,14692.940447
7.0,1002,14712.099789
7.0,1002,14727.724848
13.0,1002,14743.352767
9.0,1002,14758.980229
7.0,1002,14774.61052
8.0,1002,14790.236291
13.0,1002,14805.85805
12.0,1002,14821.476656
9.0,1002,14840.579463
16.0,1002,14856.222343
5.0,1002,14871.836345
10.0,1002,14887.456164
8.0,1002,14903.071607
9.0,1002,14918.689864
11.0,1002,14934.3225
8.0,1002,14949.940448
11.0,1002,14969.024441
11.0,1002,14984.63547
8.0,1002,15000.263867
12.0,1002,15015.86412
9.0,1002,15031.503331
